시도,시군구,행정번호,년도,평균연령,스트레스인지율
경기도,경기광명시,4121000000,2019,41.5,26.2
경기도,경기평택시,4122000000,2019,40.4,27.5
경기도,경기동두천시,4125000000,2019,44.9,19
경기도,경기안산상록구,4127100000,2019,40.9,30.1
경기도,경기안산단원구,4127300000,2019,40.4,30.1
경기도,경기고양덕양구,4128100000,2019,42.1,31.1
경기도,경기고양일산동구,4128500000,2019,41.4,31.1
경기도,경기고양일산서구,4128700000,2019,40.8,31.1
경기도,경기과천시,4129000000,2019,41.9,27.9
경기도,경기구리시,4131000000,2019,41.6,24.8
경기도,경기남양주시,4136000000,2019,40.9,27
경기도,경기오산시,4137000000,2019,37.8,25.2
경기도,경기시흥시,4139000000,2019,38.9,31.7
경기도,경기군포시,4141000000,2019,41.2,25.9
경기도,경기의왕시,4143000000,2019,41.9,25.9
경기도,경기하남시,4145000000,2019,40.3,22.8
경기도,경기용인처인구,4146100000,2019,41.6,25.6
경기도,경기용인기흥구,4146300000,2019,39.4,25.6
경기도,경기용인수지구,4146500000,2019,39.4,25.6
경기도,경기파주시,4148000000,2019,40.6,25.8
경기도,경기이천시,4150000000,2019,41,33.2
경기도,경기안성시,4155000000,2019,43.3,30.6
경기도,경기김포시,4157000000,2019,39.5,26.6
경기도,경기화성시,4159000000,2019,36.9,24.6
경기도,경기광주시,4161000000,2019,41.1,22
경기도,경기양주시,4163000000,2019,42.1,28.9
경기도,경기포천시,4165000000,2019,45.9,24
경기도,경기여주시,4167000000,2019,46.1,24
경기도,경기연천군,4180000000,2019,47.8,17.6
경기도,경기가평군,4182000000,2019,48.8,24.4
경기도,경기양평군,4183000000,2019,48.2,23.2
강원도,강원춘천시,4211000000,2019,43.3,28.1
강원도,강원원주시,4213000000,2019,42.1,27.7
강원도,강원강릉시,4215000000,2019,45.6,22.6
강원도,강원동해시,4217000000,2019,44.9,24.2
강원도,강원태백시,4219000000,2019,47.5,25.5
강원도,강원속초시,4221000000,2019,44.9,16.2
강원도,강원삼척시,4223000000,2019,47.4,24
강원도,강원홍천군,4272000000,2019,49.1,25.9
강원도,강원횡성군,4273000000,2019,50.9,21.2
강원도,강원영월군,4275000000,2019,51,24.2
강원도,강원평창군,4276000000,2019,50.6,22.3
강원도,강원정선군,4277000000,2019,50.4,18.6
강원도,강원철원군,4278000000,2019,45.4,23.9
강원도,강원화천군,4279000000,2019,45.1,24.1
강원도,강원양구군,4280000000,2019,44.2,26.6
