시도,시군구,행정번호,년도,총인구수,고용률
경기도,경기용인수지구,4146500000,2019,369034,56.7
경기도,경기파주시,4148000000,2019,454040,60.45
경기도,경기이천시,4150000000,2019,215834,65.55
경기도,경기안성시,4155000000,2019,183405,64.8
경기도,경기김포시,4157000000,2019,437221,60.6
경기도,경기화성시,4159000000,2019,815396,65.95
경기도,경기광주시,4161000000,2019,372654,60.9
경기도,경기양주시,4163000000,2019,222314,57.45
경기도,경기포천시,4165000000,2019,148379,63
경기도,경기여주시,4167000000,2019,111083,59.45
경기도,경기연천군,4180000000,2019,43824,62.35
경기도,경기가평군,4182000000,2019,62415,61.45
경기도,경기양평군,4183000000,2019,116874,61.05
강원도,강원춘천시,4211000000,2019,281291,59.15
강원도,강원원주시,4213000000,2019,349215,59.65
강원도,강원강릉시,4215000000,2019,213442,59.8
강원도,강원동해시,4217000000,2019,90522,58.85
강원도,강원태백시,4219000000,2019,43866,60.9
강원도,강원속초시,4221000000,2019,81786,62.2
강원도,강원삼척시,4223000000,2019,67228,57.1
강원도,강원홍천군,4272000000,2019,69150,65.85
강원도,강원횡성군,4273000000,2019,46575,67.6
강원도,강원영월군,4275000000,2019,39127,67.25
강원도,강원평창군,4276000000,2019,42106,67.7
강원도,강원정선군,4277000000,2019,37271,69.35
강원도,강원철원군,4278000000,2019,45584,66.6
강원도,강원화천군,4279000000,2019,24917,68.7
강원도,강원양구군,4280000000,2019,22764,67.5
강원도,강원인제군,4281000000,2019,31672,71.95
강원도,강원고성군,4282000000,2019,27260,66.7
강원도,강원양양군,4283000000,2019,27726,65.75
충청북도,충북청주상당구,4311100000,2019,178352,60.35
충청북도,충북청주서원구,4311200000,2019,203209,60.35
충청북도,충북청주흥덕구,4311300000,2019,262137,60.35
충청북도,충북청주청원구,4311400000,2019,195868,60.35
충청북도,충북충주시,4313000000,2019,210737,61.15
충청북도,충북제천시,4315000000,2019,134617,60.5
충청북도,충북보은군,4372000000,2019,32949,66.65
충청북도,충북옥천군,4373000000,2019,51023,65.5
충청북도,충북영동군,4374000000,2019,48738,61.35
충청북도,충북증평군,4374500000,2019,37392,64
충청북도,충북진천군,4375000000,2019,81084,69.8
충청북도,충북괴산군,4376000000,2019,39163,66.75
충청북도,충북음성군,4377000000,2019,94982,68.75
충청북도,충북단양군,4380000000,2019,29756,66.15
충청남도,충남천안동남구,4413100000,2019,259411,64.85
충청남도,충남천안서북구,4413300000,2019,392847,64.85
충청남도,충남공주시,4415000000,2019,106474,64.9
충청남도,충남보령시,4418000000,2019,101114,65.15
충청남도,충남아산시,4420000000,2019,314395,62.8
충청남도,충남서산시,4421000000,2019,174690,67.2
충청남도,충남논산시,4423000000,2019,118842,64.65
충청남도,충남계룡시,4425000000,2019,42971,56.1
충청남도,충남당진시,4427000000,2019,167042,69.95
충청남도,충남금산군,4471000000,2019,52257,64.3
충청남도,충남부여군,4476000000,2019,66740,66.45
충청남도,충남서천군,4477000000,2019,52805,68.65
충청남도,충남청양군,4479000000,2019,31717,76.6
충청남도,충남홍성군,4480000000,2019,100423,63.4
충청남도,충남예산군,4481000000,2019,79238,65.05
충청남도,충남태안군,4482500000,2019,62743,72.65
전라북도,전북전주완산구,4511100000,2019,338839,58.1
전라북도,전북전주덕진구,4511300000,2019,315555,58.1
전라북도,전북군산시,4513000000,2019,270131,55
전라북도,전북익산시,4514000000,2019,287771,55.1
전라북도,전북정읍시,4518000000,2019,110541,59.65
전라북도,전북남원시,4519000000,2019,81441,65.5
전라북도,전북김제시,4521000000,2019,83895,61.45
전라북도,전북완주군,4571000000,2019,92220,61.95
전라북도,전북진안군,4572000000,2019,25697,70.95
전라북도,전북무주군,4573000000,2019,24303,73.35
전라북도,전북장수군,4574000000,2019,22441,76.2
전라북도,전북임실군,4575000000,2019,28902,68.8
전라북도,전북순창군,4577000000,2019,28382,68.65
전라북도,전북고창군,4579000000,2019,55504,66.4
전라북도,전북부안군,4580000000,2019,53295,69.6
전라남도,전남목포시,4611000000,2019,229861,57.45
전라남도,전남여수시,4613000000,2019,282786,62.7
전라남도,전남순천시,4615000000,2019,279598,61.35
전라남도,전남나주시,4617000000,2019,114664,66.9
전라남도,전남광양시,4623000000,2019,156750,64.65
전라남도,전남담양군,4671000000,2019,46535,66.4
전라남도,전남곡성군,4672000000,2019,28887,68.8
전라남도,전남구례군,4673000000,2019,26563,66.8
전라남도,전남고흥군,4677000000,2019,64913,74.85
전라남도,전남보성군,4678000000,2019,41420,69
전라남도,전남화순군,4679000000,2019,62737,63.55
전라남도,전남장흥군,4680000000,2019,38563,69.85
전라남도,전남강진군,4681000000,2019,35286,69.8
전라남도,전남해남군,4682000000,2019,70354,74.5
전라남도,전남영암군,4683000000,2019,54593,64.6
전라남도,전남무안군,4684000000,2019,81105,62.95
전라남도,전남함평군,4686000000,2019,32861,68.7
전라남도,전남영광군,4687000000,2019,53852,67.45
전라남도,전남장성군,4688000000,2019,45739,67.65
전라남도,전남완도군,4689000000,2019,50689,68.35
전라남도,전남진도군,4690000000,2019,30715,70.2
전라남도,전남신안군,4691000000,2019,40274,77.35
경상북도,경북포항남구,4711100000,2019,235633,61.5
경상북도,경북포항북구,4711300000,2019,271392,61.5
경상북도,경북경주시,4713000000,2019,255402,62.1
경상북도,경북김천시,4715000000,2019,141229,59.45
경상북도,경북안동시,4717000000,2019,160052,61.3
경상북도,경북구미시,4719000000,2019,419742,61.35
경상북도,경북영주시,4721000000,2019,105067,58.15
경상북도,경북영천시,4723000000,2019,102470,68.15
경상북도,경북상주시,4725000000,2019,100688,65.65
경상북도,경북문경시,4728000000,2019,72242,61.25
경상북도,경북경산시,4729000000,2019,263185,57.9
경상북도,경북군위군,4772000000,2019,23843,71.65
경상북도,경북의성군,4773000000,2019,52595,71.9
경상북도,경북청송군,4775000000,2019,25416,75.05
경상북도,경북영양군,4776000000,2019,16993,71.5
경상북도,경북영덕군,4777000000,2019,37361,63.6
경상북도,경북청도군,4782000000,2019,42910,70.2
경상북도,경북고령군,4783000000,2019,32373,64.7
경상북도,경북성주군,4784000000,2019,44015,69.8
경상북도,경북칠곡군,4785000000,2019,117047,62.65
경상북도,경북예천군,4790000000,2019,55100,69.55
경상북도,경북봉화군,4792000000,2019,32150,71.6
경상북도,경북울진군,4793000000,2019,49314,62.1
경상북도,경북울릉군,4794000000,2019,9617,84.6
경상남도,경남창원의창구,4812100000,2019,258582,60.15
경상남도,경남창원성산구,4812300000,2019,220945,60.15
경상남도,경남창원마산합포구,4812500000,2019,177784,60.15
경상남도,경남창원마산회원구,4812700000,2019,193807,60.15
경상남도,경남창원진해구,4812900000,2019,193622,60.15
경상남도,경남진주시,4817000000,2019,347334,57.85
경상남도,경남통영시,4822000000,2019,131404,56.85
경상남도,경남사천시,4824000000,2019,111925,63.7
경상남도,경남김해시,4825000000,2019,542455,59.25
경상남도,경남밀양시,4827000000,2019,105552,60.75
경상남도,경남거제시,4831000000,2019,248276,61.5
경상남도,경남양산시,4833000000,2019,350759,59
경상남도,경남의령군,4872000000,2019,27168,67.85
경상남도,경남함안군,4873000000,2019,65700,59.9
경상남도,경남창녕군,4874000000,2019,62331,66.1
경상남도,경남고성군,4882000000,2019,52276,64.1
경상남도,경남남해군,4884000000,2019,43622,66.95
경상남도,경남하동군,4885000000,2019,46574,70.6
경상남도,경남산청군,4886000000,2019,35417,69.7
경상남도,경남함양군,4887000000,2019,39637,65
경상남도,경남거창군,4888000000,2019,62179,64.85
경상남도,경남합천군,4889000000,2019,45204,65.55
제주특별자치도,제주제주시,5011000000,2019,489405,66.25
제주특별자치도,제주서귀포시,5013000000,2019,181584,70.95
서울특별시,서울종로구,1111000000,2020,149384,59.3
서울특별시,서울중구,1114000000,2020,125240,59.3
서울특별시,서울용산구,1117000000,2020,230040,59.3
서울특별시,서울성동구,1120000000,2020,293556,59.3
서울특별시,서울광진구,1121500000,2020,346682,59.3
서울특별시,서울동대문구,1123000000,2020,342837,59.3
서울특별시,서울중랑구,1126000000,2020,394702,59.3
서울특별시,서울성북구,1129000000,2020,437153,59.3
서울특별시,서울강북구,1130500000,2020,308055,59.3
서울특별시,서울도봉구,1132000000,2020,325257,59.3
서울특별시,서울노원구,1135000000,2020,523037,59.3
서울특별시,서울은평구,1138000000,2020,479835,59.3
서울특별시,서울서대문구,1141000000,2020,312173,59.3
서울특별시,서울마포구,1144000000,2020,371890,59.3
서울특별시,서울양천구,1147000000,2020,454251,59.3
서울특별시,서울강서구,1150000000,2020,580185,59.3
서울특별시,서울구로구,1153000000,2020,404408,59.3
서울특별시,서울금천구,1154500000,2020,231733,59.3
서울특별시,서울영등포구,1156000000,2020,379480,59.3
서울특별시,서울동작구,1159000000,2020,391220,59.3
서울특별시,서울관악구,1162000000,2020,495060,59.3
서울특별시,서울서초구,1165000000,2020,425126,59.3
서울특별시,서울강남구,1168000000,2020,539231,59.3
서울특별시,서울송파구,1171000000,2020,667960,59.3
서울특별시,서울강동구,1174000000,2020,459970,59.3
부산광역시,부산중구,2611000000,2020,41523,55.6
부산광역시,부산서구,2614000000,2020,108135,55.6
부산광역시,부산동구,2617000000,2020,88901,55.6
