시도명,시군구,2020년,,,,,,,,,,,,,2021년,,,,,,,,,,,,,2022년,,,,,,,,,,,,,2023년,,,,,,,,
,,전체,1월('20.1.20.~),2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,전체,1월,2월,3월,4월,5월,6월,7월,8월 (~'23.8.31.)
부산,남구, 103 , - , 2 , 1 , 2 , - , 1 , 1 , 7 , 5 , 3 , 6 , 75 ," 1,527 ", 74 , 24 , 15 , 56 , 41 , 90 , 171 , 277 , 116 , 54 , 71 , 538 ," 121,188 ", 715 ," 11,232 "," 48,913 "," 11,873 "," 3,058 "," 1,058 "," 6,065 "," 15,587 "," 5,073 "," 2,519 "," 5,878 "," 9,217 "," 26,796 "," 5,217 "," 1,529 ", 999 , 843 ," 2,170 "," 3,095 "," 6,881 "," 6,062 "
부산,동구, 236 , - , 1 , 3 , 1 , 1 , - , - , 2 , 5 , 3 , 24 , 196 , 982 , 47 , 23 , 16 , 38 , 28 , 34 , 118 , 107 , 56 , 56 , 79 , 380 ," 60,357 ", 409 ," 6,973 "," 27,817 "," 4,930 "," 1,199 ", 356 ," 1,997 "," 6,951 "," 2,660 "," 1,208 "," 2,345 "," 3,512 "," 11,939 "," 2,206 ", 740 , 411 , 362 , 862 ," 1,556 "," 3,170 "," 2,632 "
부산,동래구, 181 , - , 26 , 7 , 4 , 2 , 1 , 1 , 9 , 12 , 9 , 21 , 89 ," 1,745 ", 66 , 39 , 25 , 76 , 63 , 35 , 182 , 223 , 70 , 68 , 209 , 689 ," 147,209 ", 752 ," 13,279 "," 63,090 "," 13,732 "," 3,453 "," 1,205 "," 7,481 "," 17,539 "," 5,842 "," 3,496 "," 6,936 "," 10,404 "," 31,684 "," 6,117 "," 2,088 "," 1,161 ", 935 ," 2,081 "," 3,695 "," 7,696 "," 7,911 "
부산,부산진구, 189 , - , 1 , 8 , - , - , - , - , 20 , 16 , 27 , 37 , 80 ," 2,011 ", 92 , 26 , 37 , 148 , 54 , 23 , 198 , 338 , 139 , 116 , 236 , 604 ," 164,145 ", 973 ," 13,019 "," 66,563 "," 16,414 "," 4,140 "," 1,509 "," 8,332 "," 20,695 "," 7,228 "," 3,732 "," 8,382 "," 13,158 "," 41,525 "," 7,767 "," 2,445 "," 1,328 "," 1,219 "," 3,016 "," 5,270 "," 10,401 "," 10,079 "
부산,북구, 180 , - , 2 , 2 , 2 , 2 , - , 2 , 7 , 11 , 79 , 4 , 69 ," 1,419 ", 38 , 11 , 19 , 32 , 33 , 28 , 147 , 136 , 55 , 38 , 174 , 708 ," 130,818 ", 557 ," 11,736 "," 51,650 "," 13,597 "," 3,444 "," 1,050 "," 6,024 "," 16,063 "," 6,461 "," 2,975 "," 6,828 "," 10,433 "," 28,575 "," 6,355 "," 1,732 "," 1,189 ", 889 ," 2,115 "," 3,264 "," 6,604 "," 6,427 "
부산,사상구, 164 , - , 3 , 1 , 1 , 1 , 1 , - , 19 , 6 , 9 , 18 , 105 ," 1,507 ", 39 , 16 , 13 , 93 , 36 , 32 , 132 , 200 , 56 , 57 , 141 , 692 ," 110,763 ", 693 ," 12,462 "," 50,011 "," 9,771 "," 2,161 ", 797 ," 3,847 "," 11,955 "," 4,631 "," 2,187 "," 4,879 "," 7,369 "," 22,961 "," 5,034 "," 1,367 ", 813 , 592 ," 1,501 "," 2,531 "," 5,570 "," 5,553 "
부산,사하구, 120 , - , 5 , 4 , - , 1 , - , 2 , 16 , 4 , - , 7 , 81 ," 1,745 ", 63 , 15 , 87 , 231 , 49 , 23 , 116 , 184 , 73 , 131 , 150 , 623 ," 144,374 ", 542 ," 13,274 "," 60,613 "," 13,484 "," 3,325 "," 1,095 "," 5,572 "," 18,457 "," 6,717 "," 3,312 "," 6,751 "," 11,232 "," 34,097 "," 6,931 "," 2,288 "," 1,082 ", 921 ," 2,721 "," 4,221 "," 8,572 "," 7,361 "
부산,서구, 75 , - , 6 , 2 , - , - , - , 4 , 12 , 16 , 4 , 6 , 25 ," 1,414 ", 24 , 29 , 120 , 142 , 16 , 60 , 129 , 160 , 87 , 82 , 144 , 421 ," 63,569 ", 346 ," 6,985 "," 28,039 "," 5,510 "," 1,431 ", 509 ," 2,517 "," 7,357 "," 2,800 "," 1,421 "," 2,678 "," 3,976 "," 14,173 "," 2,948 ", 956 , 522 , 405 ," 1,218 "," 1,931 "," 3,109 "," 3,084 "
부산,수영구, 93 , - , 7 , 3 , 2 , - , - , - , 5 , 2 , - , 21 , 53 ," 1,251 ", 45 , 13 , 16 , 37 , 52 , 13 , 112 , 223 , 89 , 64 , 165 , 422 ," 83,265 ", 582 ," 8,327 "," 34,204 "," 7,350 "," 1,824 ", 645 ," 4,198 "," 10,837 "," 3,350 "," 1,918 "," 3,766 "," 6,264 "," 17,742 "," 3,708 "," 1,175 ", 649 , 470 ," 1,272 "," 1,892 "," 4,550 "," 4,026 "
부산,연제구, 146 , - , 7 , 3 , 1 , 1 , - , - , 15 , 16 , 20 , 20 , 63 ," 2,545 ", 71 , 27 , 60 , 66 , 42 , 36 , 159 , 377 , 153 , 132 , 412 ," 1,010 "," 126,991 ", 895 ," 13,240 "," 55,100 "," 10,718 "," 2,542 ", 907 ," 5,538 "," 15,220 "," 5,345 "," 2,476 "," 6,025 "," 8,985 "," 25,380 "," 5,353 "," 1,638 ", 877 , 810 ," 1,637 "," 2,686 "," 6,407 "," 5,972 "
