"No","회계연도","지역명","자치단체코드","자치단체명","시설유형","시설구분","시설명","건립일","운영방식","건물면적","토지면적","관리인력","연간이용인원","건립비용","취득가액","감가상각액","감가상각누계액","장부가액","내용연수","비용","수익","순수익"
"75","2019","서울","1132000","서울서초구","문화시설","공립도서관","서초구립반포도서관","2013.03.12","위탁","3591.48","1320","20","899083","20412280000","19508023730","231974180","1604488079","17903535651","40","2219234000","48390000","-2170844000"
"76","2019","서울","1133000","서울강남구","체육시설","체육관","강남스포츠문화센터","2005.03.01","위탁","1571","3304.5","44","70191","33595538000","20037926780","511218755","7300059462","12737867318","40","3778488196","2246620780","-1531867416"
"77","2019","서울","1133000","서울강남구","문화시설","공립도서관","도곡정보문화도서관","2012.12.14","위탁","2930","2812","10","1389138","28009000000","27758009710","693950242","4915480880","22842528830","40","958258068","12358528","-945899540"
"78","2019","서울","1133000","서울강남구","문화시설","청소년수련회관","역삼청소년수련관","2004.01.30","위탁","7048","1372","32","405443","16858143570","13902831220","358370340","5272078847","8630752373","40","3325867055","3689012373","363145318"
"79","2019","서울","1133000","서울강남구","기타시설","기타시설","행복요양병원","2012.06.01","BTL","18607","18585","0","4700","53944727340","53944727340","1042300000","5993225000","47951502340","30","1611647787","0","-1611647787"
"80","2019","서울","1134000","서울송파구","문화시설","공립도서관","글마루도서관","2013.10.25","위탁","3696.58","3696.58","27","994986","11513000000","11513000000","250456504","1586224525","9926775475","40","1973324000","35754107","-1937569893"
"81","2019","서울","1134000","서울송파구","체육시설","기타체육시설","송파구체육문화회관","2004.02.10","위탁","8983","4426","37","1000000","15300000000","15300000000","9239052","255069045","15044930955","40","4571798617","4550933885","-20864732"
"82","2019","서울","1135000","서울강동구","문화시설","문화예술회관","강동아트센터","2010.11.20","직영","18065","20252","29","107488","57375000000","55108735550","1374414638","11338920763","43769814787","40","3997264000","854016130","-3143247870"
"83","2019","서울","1135000","서울강동구","체육시설","체육관","온조대왕문화체육관","2003.12.07","위탁","1745","6490","30","60000","21617000000","13664195000","100296225","1412505168","14803494832","40","2948113321","2759044050","-189069271"
"84","2019","부산","2600000","부산본청","체육시설","테니스장","금정체육공원","2002.07.31","위탁","7867","2630","5","57843","35600000000","35600000000","890000000","16020000000","19580000000","40","1288581300","596483479","-692097821"
"85","2019","부산","2600000","부산본청","문화시설","박물관","복천박물관","1996.02.26","직영","7798","56334","0","142303","43447000000","43447000000","33427625","807461363","42639538637","40","2273604820","2493070","-2271111750"
"86","2019","부산","2600000","부산본청","체육시설","체육관","사직실내체육관","1985.08.28","직영","31041","25901","20","1724024","22953000000","22953000000","574000000","8873000000","14080000000","40","2777466250","1672296820","-1105169430"
