행정번호,년도,평균연령,스트레스인지율
4221000000,2021,46,17.6
4223000000,2021,49.2,23.2
4272000000,2021,50.5,31.5
4273000000,2021,52.4,27.8
4275000000,2021,52.4,27.6
4276000000,2021,52.4,24.3
4277000000,2021,51.9,25.2
4278000000,2021,46.7,20.4
4279000000,2021,46.6,29.5
4280000000,2021,45.8,26.6
4281000000,2021,45.9,24.5
4282000000,2021,51.6,15.7
4283000000,2021,52.2,21.4
4311100000,2021,42.9,26
4311200000,2021,43.3,26
4311300000,2021,40.3,26
4311400000,2021,40.5,26
4313000000,2021,46.2,27.7
4315000000,2021,47.5,31.2
4372000000,2021,54.7,31.3
