년도,시도,시군구,환자수
2020,경북,청송군,75
2020,경북,칠곡군,460
2020,경북,포항남구,3735
2020,경북,포항북구,5061
2020,광주,광주광산구,6197
2020,광주,광주남구,3278
2020,광주,광주동구,3339
2020,광주,광주북구,7910
2020,광주,광주서구,5341
2020,대구,대구남구,3205
2020,대구,대구달서구,12382
2020,대구,대구달성군,1917
2020,대구,대구동구,5898
2020,대구,대구북구,6365
2020,대구,대구서구,2923
2020,대구,대구수성구,10494
2020,대구,대구중구,4509
2020,대전,대전대덕구,2858
2020,대전,대전동구,3324
2020,대전,대전서구,12062
2020,대전,대전유성구,4250
2020,대전,대전중구,7017
2020,부산,부산강서구,731
2020,부산,부산금정구,3198
2020,부산,부산기장군,2852
2020,부산,부산남구,4190
2020,부산,부산동구,5094
2020,부산,부산동래구,6965
2020,부산,부산북구,4043
2020,부산,부산사상구,3458
2020,부산,부산사하구,4791
2020,부산,부산서구,1820
2020,부산,부산수영구,9095
2020,부산,부산연제구,4273
2020,부산,부산영도구,2232
2020,부산,부산중구,2253
2020,부산,부산진구,11796
2020,부산,부산해운대구,7502
2020,서울,강남구,24134
2020,서울,강동구,12522
2020,서울,강북구,4063
2020,서울,강서구,9249
2020,서울,관악구,10175
2020,서울,광진구,7451
2020,서울,구로구,8965
2020,서울,금천구,4870
2020,서울,노원구,9220
2020,서울,도봉구,3528
2020,서울,동대문구,7555
2020,서울,동작구,9733
2020,서울,마포구,14511
2020,서울,서대문구,7083
2020,서울,서초구,15899
2020,서울,성동구,4076
2020,서울,성북구,6098
2020,서울,송파구,15426
2020,서울,양천구,5660
2020,서울,영등포구,7176
2020,서울,용산구,3237
2020,서울,은평구,7865
2020,서울,종로구,12664
2020,서울,중구,5317
2020,서울,중랑구,7835
2020,세종,세종시,6755
2020,울산,울산남구,8936
2020,울산,울산동구,656
2020,울산,울산북구,516
2020,울산,울산울주군,1095
2020,울산,울산중구,3294
2020,인천,인천강화군,244
2020,인천,인천계양구,4750
2020,인천,인천남동구,8535
2020,인천,인천동구,698
2020,인천,인천미추홀구,6194
2020,인천,인천부평구,11323
2020,인천,인천서구,8958
2020,인천,인천연수구,4084
2020,인천,인천옹진군,0
2020,인천,인천중구,3386
2020,전남,강진군,173
2020,전남,고흥군,1971
2020,전남,곡성군,74
2020,전남,광양시,1171
2020,전남,구례군,69
2020,전남,나주시,981
2020,전남,담양군,297
2020,전남,목포시,5582
2020,전남,무안군,443
2020,전남,보성군,278
2020,전남,순천시,3281
2020,전남,신안군,28
2020,전남,여수시,2913
2020,전남,영광군,665
2020,전남,영암군,169
2020,전남,완도군,71
2020,전남,장성군,274
2020,전남,장흥군,211
2020,전남,진도군,86
2020,전남,함평군,168
2020,전남,해남군,1710
2020,전남,화순군,615
2020,전북,고창군,743
2020,전북,군산시,3047
2020,전북,김제시,1216
2020,전북,남원시,2068
2020,전북,무주군,53
2020,전북,부안군,844
2020,전북,순창군,251
2020,전북,완주군,471
2020,전북,익산시,4134
2020,전북,임실군,22
2020,전북,장수군,60
2020,전북,전주덕진구,6224
2020,전북,전주완산구,8117
2020,전북,정읍시,1261
2020,전북,진안군,119
2020,제주,서귀포시,2293
2020,제주,제주시,10406
2020,충남,계룡시,20
2020,충남,공주시,2718
2020,충남,금산군,1098
2020,충남,논산시,3726
2020,충남,당진시,3623
2020,충남,보령시,1281
2020,충남,부여군,1407
2020,충남,서산시,1280
2020,충남,서천군,1105
2020,충남,아산시,4622
2020,충남,예산군,1190
2020,충남,천안동남구,4608
2020,충남,천안서북구,7311
2020,충남,청양군,366
2020,충남,태안군,570
2020,충남,홍성군,2239
2020,충북,괴산군,438
2020,충북,단양군,23
2020,충북,보은군,333
2020,충북,영동군,962
2020,충북,옥천군,535
2020,충북,음성군,678
2020,충북,제천시,3553
2020,충북,증평군,447
2020,충북,진천군,1225
2020,충북,청주상당구,6756
2020,충북,청주서원구,4164
2020,충북,청주청원구,3159
2020,충북,청주흥덕구,5112
2020,충북,충주시,3867
2021,강원,강릉시,5587
2021,강원,고성군,0
2021,강원,동해시,1540
2021,강원,삼척시,1366
2021,강원,속초시,1867
2021,강원,양구군,34
2021,강원,양양군,85
2021,강원,영월군,229
2021,강원,원주시,7766
2021,강원,인제군,50
2021,강원,정선군,37
2021,강원,철원군,51
2021,강원,춘천시,6575
2021,강원,태백시,250
2021,강원,평창군,258
2021,강원,홍천군,1748
2021,강원,화천군,10
2021,강원,횡성군,151
2021,경기,가평군,515
2021,경기,고양덕양구,4690
2021,경기,고양일산동구,9032
2021,경기,고양일산서구,9040
2021,경기,과천시,42
2021,경기,광명시,5122
2021,경기,광주시,4058
2021,경기,구리시,5536
2021,경기,군포시,5527
2021,경기,김포시,3501
2021,경기,남양주시,9653
2021,경기,동두천시,2448
2021,경기,부천시,16167
2021,경기,성남분당구,22057
2021,경기,성남수정구,5044
2021,경기,성남중원구,3840
2021,경기,수원권선구,3483
2021,경기,수원영통구,5742
2021,경기,수원장안구,4602
2021,경기,수원팔달구,9701
2021,경기,시흥시,6169
2021,경기,안산단원구,8873
2021,경기,안산상록구,3444
2021,경기,안성시,1490
2021,경기,안양동안구,7737
2021,경기,안양만안구,5363
2021,경기,양주시,2130
2021,경기,양평군,950
2021,경기,여주시,2414
2021,경기,연천군,389
2021,경기,오산시,3849
2021,경기,용인기흥구,7045
2021,경기,용인수지구,4782
2021,경기,용인처인구,2888
2021,경기,의왕시,1011
2021,경기,의정부시,11138
2021,경기,이천시,4855
2021,경기,파주시,6073
2021,경기,평택시,7718
2021,경기,포천시,1067
2021,경기,하남시,4209
2021,경기,화성시,11051
2021,경남,거제시,4080
2021,경남,거창군,963
2021,경남,고성군,224
2021,경남,김해시,5152
2021,경남,남해군,135
2021,경남,밀양시,970
2021,경남,사천시,641
2021,경남,산청군,19
2021,경남,양산시,4998
2021,경남,의령군,124
2021,경남,진주시,8075
2021,경남,창녕군,625
2021,경남,창원마산합포구,3459
2021,경남,창원마산회원구,3252
2021,경남,창원성산구,4989
2021,경남,창원의창구,2978
2021,경남,창원진해구,1957
2021,경남,통영시,1588
2021,경남,하동군,260
2021,경남,함안군,235
2021,경남,함양군,315
2021,경남,합천군,151
2021,경북,경산시,3824
2021,경북,경주시,4498
2021,경북,고령군,11
2021,경북,구미시,7114
2021,경북,군위군,38
2021,경북,김천시,3188
2021,경북,문경시,2730
